"pid","did","lptime","pborough","cnt"
43,48,17,"""Manhattan""",52
43,48,18,"""Manhattan""",25
43,48,19,"""Manhattan""",17
43,48,20,"""Manhattan""",13
43,48,21,"""Manhattan""",19
43,48,22,"""Manhattan""",12
43,50,10,"""Manhattan""",15
43,50,14,"""Manhattan""",21
43,50,15,"""Manhattan""",15
43,50,16,"""Manhattan""",21
43,50,17,"""Manhattan""",19
43,68,10,"""Manhattan""",17
43,68,11,"""Manhattan""",13
43,68,12,"""Manhattan""",21
43,68,13,"""Manhattan""",20
43,68,14,"""Manhattan""",20
43,68,15,"""Manhattan""",16
43,68,16,"""Manhattan""",29
43,68,17,"""Manhattan""",17
43,68,18,"""Manhattan""",15
43,74,10,"""Manhattan""",14
43,74,14,"""Manhattan""",12
43,74,15,"""Manhattan""",16
43,74,16,"""Manhattan""",14
43,75,8,"""Manhattan""",19
43,75,9,"""Manhattan""",19
43,75,10,"""Manhattan""",24
43,75,11,"""Manhattan""",15
43,75,12,"""Manhattan""",17
43,75,13,"""Manhattan""",23
43,75,14,"""Manhattan""",34
43,75,15,"""Manhattan""",26
43,75,16,"""Manhattan""",20
43,75,17,"""Manhattan""",17
43,75,19,"""Manhattan""",11
43,79,16,"""Manhattan""",20
43,79,19,"""Manhattan""",11
43,90,14,"""Manhattan""",13
43,90,16,"""Manhattan""",14
43,90,17,"""Manhattan""",13
43,100,8,"""Manhattan""",14
43,100,9,"""Manhattan""",27
43,100,10,"""Manhattan""",26
43,100,11,"""Manhattan""",17
43,100,12,"""Manhattan""",17
43,100,13,"""Manhattan""",22
43,100,14,"""Manhattan""",31
43,100,15,"""Manhattan""",24
43,100,16,"""Manhattan""",43
43,100,17,"""Manhattan""",26
43,107,10,"""Manhattan""",12
43,107,13,"""Manhattan""",11
43,107,14,"""Manhattan""",20
43,107,16,"""Manhattan""",11
43,107,17,"""Manhattan""",12
43,113,10,"""Manhattan""",11
43,113,11,"""Manhattan""",11
43,113,13,"""Manhattan""",12
43,113,14,"""Manhattan""",15
43,113,15,"""Manhattan""",14
43,113,16,"""Manhattan""",19
43,132,13,"""Manhattan""",11
43,138,8,"""Manhattan""",12
43,140,7,"""Manhattan""",21
43,140,8,"""Manhattan""",38
43,140,9,"""Manhattan""",34
43,140,10,"""Manhattan""",39
43,140,11,"""Manhattan""",33
43,140,12,"""Manhattan""",22
43,140,13,"""Manhattan""",33
43,140,14,"""Manhattan""",33
43,140,15,"""Manhattan""",33
43,140,16,"""Manhattan""",37
43,140,17,"""Manhattan""",21
43,140,18,"""Manhattan""",21
43,140,21,"""Manhattan""",12
43,141,7,"""Manhattan""",11
43,141,8,"""Manhattan""",30
43,141,9,"""Manhattan""",14
43,141,10,"""Manhattan""",39
43,141,11,"""Manhattan""",32
43,141,12,"""Manhattan""",42
43,141,13,"""Manhattan""",42
43,141,14,"""Manhattan""",55
43,141,15,"""Manhattan""",63
43,141,16,"""Manhattan""",85
43,141,17,"""Manhattan""",58
43,141,18,"""Manhattan""",35
43,141,19,"""Manhattan""",27
43,141,20,"""Manhattan""",19
43,141,21,"""Manhattan""",20
43,141,22,"""Manhattan""",12
43,142,7,"""Manhattan""",15
43,142,8,"""Manhattan""",43
43,142,9,"""Manhattan""",34
43,142,10,"""Manhattan""",62
43,142,11,"""Manhattan""",76
43,142,12,"""Manhattan""",72
43,142,13,"""Manhattan""",68
43,142,14,"""Manhattan""",101
43,142,15,"""Manhattan""",112
43,142,16,"""Manhattan""",114
43,142,17,"""Manhattan""",87
43,142,18,"""Manhattan""",68
43,142,19,"""Manhattan""",64
43,142,20,"""Manhattan""",31
43,142,21,"""Manhattan""",32
43,142,22,"""Manhattan""",18
43,142,23,"""Manhattan""",13
43,143,7,"""Manhattan""",13
43,143,8,"""Manhattan""",18
43,143,9,"""Manhattan""",25
43,143,10,"""Manhattan""",36
43,143,11,"""Manhattan""",30
43,143,12,"""Manhattan""",34
43,143,13,"""Manhattan""",24
43,143,14,"""Manhattan""",40
43,143,15,"""Manhattan""",48
43,143,16,"""Manhattan""",75
43,143,17,"""Manhattan""",51
43,143,18,"""Manhattan""",26
43,143,19,"""Manhattan""",24
43,143,20,"""Manhattan""",25
43,143,21,"""Manhattan""",16
43,151,7,"""Manhattan""",11
43,151,10,"""Manhattan""",15
43,151,11,"""Manhattan""",17
43,151,12,"""Manhattan""",18
43,151,13,"""Manhattan""",23
43,151,14,"""Manhattan""",25
43,151,15,"""Manhattan""",37
43,151,16,"""Manhattan""",32
43,151,17,"""Manhattan""",36
43,151,18,"""Manhattan""",21
43,151,19,"""Manhattan""",34
43,158,15,"""Manhattan""",15
43,158,16,"""Manhattan""",11
43,161,6,"""Manhattan""",12
43,161,7,"""Manhattan""",42
43,161,8,"""Manhattan""",91
43,161,9,"""Manhattan""",90
43,161,10,"""Manhattan""",120
43,161,11,"""Manhattan""",97
43,161,12,"""Manhattan""",85
43,161,13,"""Manhattan""",114
43,161,14,"""Manhattan""",131
43,161,15,"""Manhattan""",116
43,161,16,"""Manhattan""",98
43,161,17,"""Manhattan""",84
43,161,18,"""Manhattan""",32
43,161,19,"""Manhattan""",28
43,161,20,"""Manhattan""",17
43,162,7,"""Manhattan""",16
43,162,8,"""Manhattan""",33
43,162,9,"""Manhattan""",25
43,162,10,"""Manhattan""",22
43,162,11,"""Manhattan""",27
43,162,12,"""Manhattan""",20
43,162,13,"""Manhattan""",20
43,162,14,"""Manhattan""",31
43,162,15,"""Manhattan""",40
43,162,16,"""Manhattan""",44
43,162,17,"""Manhattan""",17
43,162,18,"""Manhattan""",15
43,163,7,"""Manhattan""",13
43,163,8,"""Manhattan""",28
43,163,9,"""Manhattan""",39
43,163,10,"""Manhattan""",63
43,163,11,"""Manhattan""",36
43,163,12,"""Manhattan""",50
43,163,13,"""Manhattan""",70
43,163,14,"""Manhattan""",78
43,163,15,"""Manhattan""",63
43,163,16,"""Manhattan""",70
43,163,17,"""Manhattan""",42
43,163,18,"""Manhattan""",28
43,163,19,"""Manhattan""",22
43,163,20,"""Manhattan""",11
43,163,21,"""Manhattan""",17
43,164,7,"""Manhattan""",11
43,164,8,"""Manhattan""",11
43,164,9,"""Manhattan""",29
43,164,10,"""Manhattan""",24
43,164,11,"""Manhattan""",24
43,164,12,"""Manhattan""",23
43,164,13,"""Manhattan""",37
43,164,14,"""Manhattan""",49
43,164,15,"""Manhattan""",36
43,164,16,"""Manhattan""",35
43,164,17,"""Manhattan""",31
43,164,18,"""Manhattan""",11
43,164,19,"""Manhattan""",11
43,166,13,"""Manhattan""",12
43,166,14,"""Manhattan""",29
43,166,15,"""Manhattan""",20
43,166,16,"""Manhattan""",13
43,170,7,"""Manhattan""",11
43,170,9,"""Manhattan""",18
43,170,10,"""Manhattan""",19
43,170,11,"""Manhattan""",19
43,170,12,"""Manhattan""",20
43,170,13,"""Manhattan""",21
43,170,14,"""Manhattan""",23
43,170,15,"""Manhattan""",31
43,170,16,"""Manhattan""",30
43,170,17,"""Manhattan""",22
43,170,18,"""Manhattan""",12
43,170,19,"""Manhattan""",11
43,186,10,"""Manhattan""",17
43,186,12,"""Manhattan""",18
43,186,13,"""Manhattan""",13
43,186,14,"""Manhattan""",21
43,186,15,"""Manhattan""",25
43,186,16,"""Manhattan""",34
43,186,17,"""Manhattan""",25
43,211,13,"""Manhattan""",16
43,229,10,"""Manhattan""",16
43,229,11,"""Manhattan""",17
43,229,12,"""Manhattan""",24
43,229,13,"""Manhattan""",31
43,229,14,"""Manhattan""",23
43,229,15,"""Manhattan""",46
43,229,16,"""Manhattan""",39
43,229,17,"""Manhattan""",34
43,229,18,"""Manhattan""",14
43,229,19,"""Manhattan""",23
43,229,20,"""Manhattan""",15
43,229,22,"""Manhattan""",13
43,230,8,"""Manhattan""",13
43,230,9,"""Manhattan""",21
43,230,10,"""Manhattan""",14
43,230,11,"""Manhattan""",32
43,230,12,"""Manhattan""",35
43,230,13,"""Manhattan""",56
43,230,14,"""Manhattan""",77
43,230,15,"""Manhattan""",83
43,230,16,"""Manhattan""",87
43,230,17,"""Manhattan""",60
43,230,18,"""Manhattan""",39
43,230,19,"""Manhattan""",36
43,230,20,"""Manhattan""",11
43,231,13,"""Manhattan""",11
43,231,14,"""Manhattan""",11
43,233,13,"""Manhattan""",12
43,233,14,"""Manhattan""",14
43,233,15,"""Manhattan""",23
43,233,16,"""Manhattan""",18
